Species,Mass,Temperature,MR,AvgMass,Q10SMR,Reference
Dobsonia praedatrix,179.5,37.1,142.5,179.5,156.3962,[29]
Eonycteris spelaea,51.6,34,48,51.6,72.58498,[29]
Macroglossus minimus,15.9,36.2,18.5,15.85,22.28405,[29]
Melonycteris melanops,53.3,34.9,43.3,53.3,59.65985,[29]
Nyctimene albiventer,30.9,35.9,27.3,30.9,33.91998,[29]
Nyctimene cyclotis,40.4,36,64.6,40.4,79.43928,[29]
Nyctimene major,13.6,33,20.4,13.6,34.20874,[30]
Paranyctimene raptor,23.6,33.8,24.5,23.6,37.82264,[29]
Pteropus giganteus,562.2,36.7,290.7,562.2,332.5193,[29] 
Pteropus hypomelanus,520.8,35.7,290.1,520.8,367.9772,[29]
Pteropus poliocephalus,598,36.5,316.9,598,370.0618,[29]
Pteropus pumilus,194.2,36.1,126.4,194.2,153.8366,[29]
Pteropus rodricensis,254.5,36.5,134.9,254.5,157.5303,[29]
Pteropus scapulatus,362,37,242.54,362,268.9582,[24]
Pteropus vampyrus,1024.3,36.9,804.1,1024.3,900.9519,[29]
Rousettus aegyptiacus,146,34.8,122.6,146,170.677,[29]
Rousettus amplexicaudatus,91.5,36.5,104.3,91.5,121.7969,[29]
Syconycteris australis,15.9,35.9,21.85,15.9,27.14841,[29]
Chalinolobus gouldii,17.5,31.1,25.2,17.5,51.43042,[31]
Eptesicus fuscus,10.4,36,20.8,10.4,25.57797,[25]
Histiotus velatus,11.2,30.5,15.68,11.2,34.04916,[24]
Miniopterus gigas (australis?),107.2,35.6,94.336,107.2,120.904,[23]
Miniopterus schreibersi,10.91,37.7,25.9658,10.91,26.7838,[23]
Myotis lucifuga,5.2,37,8.918,5.2,9.889375,[25]
Nyctophilus geoffroyi,8,31.6,11.2,8,21.70635,[31]
Heterohyrax brucei,2000,36.7,720,2000,823.5772,[6]
Procavia capensis,2400,37,660,2400,731.8892,[32]
Procavia habessinica,2250,38,900,2250,900,[33]
Procavia johnstoni,2750,39,1178.654,2750,1062.882,[16;34]
Chrysochloris asiatica,44,33.95,51.48,44,78.25086,[35;36]
Eremitalpa granti namibensis,20,33.58,10,20,15.79298,[37]
Atelerix albiventris,450,35.2,148.5,450,198.3583,[38]
Echinosorex gymnura,721.2,36.3,504.84,721.2,601.847,[39]
Erinaceus concolor,822.7,35.2,347.1794,822.7,463.7435,[40]
Erinaceus europaeus,750,34,337.5,750,510.3632,[41]
Hemiechinus auritus,400,33.75,152,400,235.871,[41]
Hylomys suillus,57.8,37.3,60.112,57.8,64.62375,[42;43]
Paraechinus aethiopicus,450,34.19,112.5,450,166.8118,[41]
Condylura cristata,49,37.7,110.25,49,113.7232,[44;45] 
Neurotrichus gibbsii,11.8,38.4,46.492,11.8,44.60851,[46]
Scalopus aquaticus,48,36,67.68,48,83.22678,[47]
Geogale aurita,6.9,30.8,7.728,6.9,16.26886,[48]
Microgale cowani,12.2,33,31.964,12.2,53.6004,[43;49]
Microgale dobsoni,44.6,30.9,56.4,44.6,117.5111,[49]
Microgale talazaci,44,30.8,43.56,44,91.70179,[49]
Setifer setosus,530,32.2,121.9,530,222.0403,[38]
Tenrec ecaudatus,650,33,130.65,650,219.08690000000001,[11;34]
Elephantulus brachyrhynchus,45.3,37.5,43.70997,45.3,46.02896,[38;50]
Elephantulus edwardii,50,37.6,54.5,50,56.80114,[51]
Elephantulus intufi,46.49,37.2,51.99907,46.49,56.48286,[38;50]
Elephantulus myurus,62.97,36.86,66.30741,62.97,74.60186,[52]
Elephantulus rozeti,45.31,37.06,47.80205,45.31,52.68098,[52]
Elephantulus rufescens,53,37.3,56.869,53,61.13734,[51]
Macroscelides proboscideus,39,36.23,52.26,39,62.7545,[53]
Petrodromus tetradactylus,206.11,37.5,179.5218,206.11,189.0462,[50]
Manis crassicaudata,15910,33.4,1240.98,15910,1996.692,[51]
Manis javanica,4220,32.3,1105.64,4220,1993.203,[51]
Manis tetradactyla,1430,33,229.086,1430,384.1541,[54]
Manis pentadactyla,3637.5,33.41,667.845,3637.5,1073.428,[54]
Manis tricuspis,1365,32.58333333,276.003,1365,483.203,[54]
Aotus trivirgatus,820,38,442,820,442,[55]
Saimiri sciureus,875,38,800.628,875,800.628,[11;56]
Cercopithecus mitis,8500,37.5,3391.5,8500,3571.433,[55]
Colobus guereza,10450,37,2978,10450,3302.373,[55]
Erythrocebus patas,3000,39.3,1068,3000,933.683,[55]
Papio anubis,9500,37.27,2777.885,9500,2995.658,[16]
Papio ursinus,16900,37.03333333,5147,16900,5687.99,[55]
Cheirogaleus medius,300,38,195,300,195,[55]
Eulemur fulvus,2330,36.5,746,2330,871.1459,[55] 
Galago senegalensis,171.5,37.85,137.2002,171.5,139.3445,[57]
Loris tardigradus,284,35.5,128,284,165.7538,[55]
Nycticebus coucang,1160,35.35,272.6,1160,358.5209,[55]
Perodicticus potto,964,36.05,326.6,964,399.5525,[55]
Tarsius syrichta,113,33.8,76.7,113,118.408,[55]
Agouti paca,9156,37.2,2746.8,9156,2983.652,[58]
Aplodontia rufa,630,38,277.2,630,277.2,[47]
Bathyergus janetta,406,34.7,215.18,406,302.6749,[59]
Bathyergus suillus,620,35.3,303.8,620,401.6257,[59]
Cryptomys bocagei,94,33.7,69.56,94,108.5014,[36]
Cryptomys damarensis,138,35.2,78.66,138,105.0698,[59-61]
Cryptomys darlingi,60,33.3,58.8,60,95.5903,[62]
Cryptomys mechowi,267,34,160.2,267,242.2524,[36]
Georychus capensis,195,36.4,115.666,194.8,136.4734,[64;65]
Heliophobius argentocinereus,88,35.1,74.8,88,100.9522,[47]
Heterocephalus glaber,32,32.1,20.48,32,37.69191,[66;67]
Capromys pilorides,2630,35.7,604.9,2630,767.28510000000006,[58]
Cavia porcellus,629,39,346,629,312.0145,[58]
Dolichotis salinicola,1613,38.4,725.9,1613,696.4922,[58]
Galea musteloides,322,37.3,264,322,283.8147,[58]
Kerodon ruprestris,801,38.2,360.5,801,353.1222,[58]
Chinchilla laniger,426,35.7,200.2,426,253.9436,[58]
Lagostomus maximus,6784,36.8,1899.5,6784,2150.408,[58]
Ctenomys australis,340,37.3,116.62,340,125.373,[68]
Ctenomys fulvus,300,36.2,189,300,227.6587,[69;70]
Ctenomys maulinus,215,36.2,187.1,215,225.3701,[58]
Ctenomys opimus,214,36,109.7,214,134.8992,[58]
Ctenomys peruanus,490,35.2,220.5,490,294.532,[58] 
Ctenomys talarum,121,36.1,109.626,121,133.4216,[68]
Dasyprocta azarae,3849,37.5,1886,3849,1986.06,[58]
Dasyprocta leporina,2687,38.3,1558.5,2687,1510.902,[58]
Myoprocta acouchy,914,35.4,502.7,914,657.7373,[58]
Dipus sagitta?,160,36.8,121.1538,160,137.1573,[16;71]
Jaculus jaculus,75,37.45,92.25,75,97.64773,[72]
Jaculus orientalis,139,37,139.0002,139,154.1405,[72]
Napaeozapus insignis,22,37,39.6,22,43.91335,[73]
Zapus hudsonicus,23.8,37.3,35.7,23.8,38.37949,[25]
Proechimys semispinosus,498,37.9,313.7,498,316.9601,[58]
Thrichomys apereoides,323,37.6,206.7,323,215.4274,[58]
Coendou prehensilis,3280,36.7,918.4,3280,1050.518,[58]
Geomys bursaris,197,35,137.9,197,188.0479,[74]
Geomys pinetis,173,36.3,133.1534,172.95,158.7394,[66;75]
Thomomys bottae,143,36,120.12,143,147.7128,[76]
Thomomys talpoides,106.8,36.2,142.044,106.8,171.0982,[77;78]
Thomomys umbrinus,85,34.6,72.25,85,102.6839,[77]
Chaetodipus baileyi,29.1,32.5,34.5417,29.1,60.99599,[79]
Chaetodipus californicus,22,38,21.34,22,21.34,[80]
Chaetodipus fallax,19.6,32.6,26.852,19.6,46.9293,[79]
Chaetodipus hispidus,39.5,36.8,49.375,39.5,55.89703,[81]
Chaetodipus intermedius,15,36,17.86525,14.95,21.96908,[77]
Dipodomys agilis,60.6,37,63.63,60.6,70.56077,[82]
Dipodomys deserti,106,36.8,92.22,106,104.4015,[83]
Dipodomys merriami,36.5,37,42.4595,36.5,47.08432,[82;84]
Dipodomys microps,57.2,35,66.924,57.2,91.26117,[85]
Dipodomys ordii,46.8,34.6,64.2096,46.8,91.25668,[79]
Dipodomys panamintinus,64.2,36.9,74.2794,64.2,83.22617,[71;79]
Heteromys anomalus,69.3,36,100.485,69.3,123.5674,[83]
Heteromys desmarestianus,75.8,33.8,99.1464,75.8,153.0604,[79] 
Liomys irroratus,48.1,37,53.872,48.1,59.7399,[86]
Liomys salvani,43.8,37,46.866,43.8,51.97078,[86]
Microdipodops megacephalus,11,32.8,30.173,11,51.65421,[79]
Microdipodops pallidus,15.2,39.3,19.76,15.2,17.27488,[87]
Perognathus flavus,8.3,34.6,17.3055,8.3,24.59511,[79]
Perognathus longimembris,8.9,34.7,9.523,8.9,13.39517,[88]
Hydrochaeris hydrochaeris,26385,37.1,6596.3,26385,7239.551,[58]
Hystrix africaeaustralis,11300,37.45,2361.702,11300,2499.89,[89]
Abrothrix longipilis,42.3,37.4,57.528,42.3,61.20968,[90]
Acomys cahirinus,42,37.5,46.2,42,48.6511,[91]
Acomys russatus,55.55,37.25,42.9,55.55,46.35892,[91;92]
Aethomys namaquensis,64.2,36.82,56.7528,64.2,64.11667,[93]
Akodon azarae,24,37.7,40.8,24,42.08531,[90]
Apodemus flavicollis,23.9,36.7,43.259,23.9,49.48212,[94]
Apodemus hermonensis,20.5,37,50.02,20.5,55.46833,[94]
Apodemus mystacinus,40.4,35.5,56.0348,40.4,72.56234,[92;95]
Apodemus sylvaticus,23.9,36.7,43.259,23.9,49.48212,[92;95]
Arborimus longicaudus,21.8,37.3,58.86,21.8,63.27778,[96]
Arvicola terrestris,92,37.5,106.6813,91.96667,112.3412,[96]
Auliscomys micropus,62.3,37.4,97.811,62.3,104.0707,[90]
Baiomys taylori,7.15,36,17.0886,7.15,21.01403,[11;71]
Calomys musculinus,16.9,36.2,27.59772,16.9,33.24265,[90]
Calomys venustus,50.1,37.05,74.7,50.1,82.40943,[90;97]
Cannomys badius,344,36,172,344,211.5102,[47]
Chelemys macronyx,62,36.8,84.32,62,95.45798,[90]
Chroeomys anadinus,34.6,37.7,64.702,34.6,66.74029,[90]
Chroeomys olivaceus,27,37.2,49.41,27,53.67054,[90]
Clethrionomys californicus,18.3,37.5,61.122,18.3,64.36477,[96]
Clethrionomys gapperi,22.3,37.9,49.33938,22.25,49.85214,[96]
Cricetomys gambianus,1870,35.6,1140.7,1870,1461.958,[98] 
Cricetulus migratorius,30.7,38.1,43.901,30.7,43.44945,[95]
Cricetus cricetus,362,39.5,231.6798,362,198.3975,[11;71]
Desmodillus auricularis,71.93,35.86,87.7546,71.93,109.4861,[99]
Dicrostonyx groenlandicus,59.62,38.4,98.84996,59.62,94.84533,[96]
Eligmodontia typus,17.5,36.4,29.925,17.5,35.30826,[90]
Gerbillurus paeba,33.9,38.7,34.8153,33.9,32.38465,[100]
Gerbillurus setzeri,46.1,37.6,37.0183,46.1,38.58131,[100]
Gerbillurus tytonis,29.9,36.9,31.694,29.9,35.51146,[100]
Gerbillurus vallinus,38.8,37.4,34.7648,38.8,36.98968,[100]
Gerbillus allenybi,35.3,36.3,38.83,35.3,46.29134,[101]
Gerbillus dasyurus,27.6,38.6,29.256,27.6,27.49629,[92]
Gerbillus gerbillus,29.7,37.2,42.471,29.7,46.1332,[95]
Gerbillus nanus,28.4,38.8,22.152,28.4,20.3935,[95]
Gerbillus pusillus,12.6,34.6,13.482,12.6,19.16104,[102]
Gerbillus pyramidum,108.5,36.1,81.375,108.5,99.0384,[103]
Graomys griseoflavus,69.4,36.1,83.974,69.4,102.2015,[90]
Hydromys chrysogaster,900,36.6,528.3,900,610.58,[104]
Isthmomys pirrensis,137.9,37.6,121.3518,137.9,126.4756,[105]
Lagurus curtatus,30.3,37.1,50.298,30.3,55.20291,[96]
Lemmus lemmus,80,37.8,192,80,196.0115,[106]
Lemmus sibericus,50.2,38.3,90.19267,50.2,87.43812,[96]
Lemniscomys griselda,47.5,36.9,57.6175,47.5,64.55739,[92]
Lemniscomys rosalia,50.53,36.5,61.473,50.53,71.78546,[107]
Malacothrix typica,21.7,37,20.615,21.7,22.86045,[108]
Maresomys boliviensis,76.8,36.3,110.592,76.8,131.8427,[90]
Mastomys natalensis,41.5,38,32.785,41.5,32.785,[109]
Megadontomys thomasi,110.8,37.8,124.0962,110.8,126.689,[11;71]
Meriones hurriane,69,36.1,54.51,69,66.34204,[110]
Meriones tristrami,112,36.5,98.56,112,115.094,[95]
Meriones unguiculatus,67,38.2,77.0502,67,75.47333,[111] 
Mesocricetus auratus,98,38.1,147,98,145.488,[71]
Micromys minutus,7.37,38,21.078,7.37,21.078,[11;71]
Microtus agrestis,28,37.6,63.6,28,66.28537,[112]
Microtus arvalis,20,37,61.9998,20,68.753,[11;113]
Microtus brandti,40.2,36.2,76.782,40.2,92.48726,[111;114]
Microtus breweri,53.1,37.3,73.809,53.1,79.34879,[115]
Microtus californicus,44,38.8,68.2,44,62.78607,[96]
Microtus guentheri,43.8,38.3,80.154,43.8,77.70604,[95]
Microtus longicaudus,28.6,38,67.52075,28.55,67.52075,[96]
Microtus mexicanus,28.8,37.9,46.944,28.8,47.43187,[96]
Microtus montanus,35.1,35.3,83.33406,35.125,110.1682,[96]
Microtus ochrogaster,46.7,37.93333333,79.07867,46.7,79.62561,[96]
Microtus oeconomus,33.7,38.4,100.9315,33.7,96.84254,[96]
Microtus pennsylvanicus,38.9,38.5,75.077,38.9,71.29453,[96]
Microtus pinetorum,25.5,38.3,58.395,25.5,56.61158,[96]
Microtus richardsoni,65.65,38.7,128.0175,65.65,119.0799,[96]
Microtus xanthognathus,68.5,38,98.64,68.5,98.64,[96]
Mus minutoides,8.06,36.3,24.0188,8.06,28.63411,[116]
Myopus schisticolor,26.4,39,93.456,26.4,84.27637,[117]
Mystromys albicaudatus,93.78,33,126.7908,93.78,212.6154,[118]
Nannospalax ehrenbergi (2n=60),134,35.5,82.832,133.6,107.2634,[95;119]
Nannospalax leucodon,201,36.3,148.74,201,177.321,[47]
Neofiber alleni,258.1,37.1,216.804,258.1,237.9461,[96]
Neotoma fuscipes,187,36.6,147.73,187,170.7382,[6]
Neotoma lepida,110,36.8,86.9,110,98.37878,[6]
Notomys alexis,32.3,38,45.22,32.3,45.22,[120]
Notomys cervinus,34.2,38.45,41.724,34.2,39.82725,[120] 
Ochrotomys nuttalli,19.5,36.38,27.105,19.5,32.04717,[121]
Oligoryzomys longicaudatus,28.2,37.3,51.042,28.2,54.87299,[90]
Ondatra zibethicus,1004.6,37.4,642.944,1004.6,684.0912,[96]
Otomys irroratus,102,37.6,84.864,102,88.44719,[92]
Otomys sloggetti,113.29,38,133.6822,113.29,133.6822,[122]
Otomys unisulcatus,96,34.8,106.56,96,148.347,[123]
Oxymycterus roberti,83.5,38.25,91.015,83.5,88.69265,[51]
Parotomys brantsii,86.5,35.1,83.905,86.5,113.2405,[123]
Peromyscus californicus parasiticus,49.6,36.4,58.032,47.52052,61.85696,[124]
Peromyscus crinitus,15.9,35.7,25.122,15.9,31.86599,[124]
Peromyscus eremicus,21.5,36.6,33.11,21.5,38.26671,[124]
Peromyscus gossypinus,21.5,37.5,36.9798,21.5,38.94173,[125;126]
Peromyscus leucopus noveboracensis,26,37.5,57.2,22.80351,47.82757,[71]
Peromyscus maniculatus,22.8,36.55,36.88038,22.825,42.84522,[124;127]
Peromyscus maniculatus artemisidae,23.19,37.2,46.1481,23.19,50.12737,[128]
Peromyscus maniculatus austerus,19.53,36.3,39.8412,19.53,47.49684,[128]
Peromyscus maniculatus sonoriensis,20.38,36.7,37.4992,20.58892,45.97425,[128]
Peromyscus oreas,24.58,36.2,43.5066,24.58,52.40559,[128]
Peromyscus sitkensis,28.3,36,46.7445,28.33,57.48219,[128]
Peromyscus truei gilberti,33.3,36.4,62.604,33.3,73.86595,[124]
Peromyscus truei truei,33.2,36.7,50.796,33.2,58.10337,[124]
Phenacomys intermedius,21.5,37.9,67.295,21.5,67.99437,[96]
Phyllotis darwini rupestris,36,37.1,45.36,37.93405,59.7121,[130] 
Phyllotis xanthopygus,55,37.3,56.65,55,60.90191,[90]
Pseudomys gracilicaudatus,79.8,36.8,83.79,79.8,94.85798,[131]
Pseudomys hermannsburgensis,12.2,37.75,23.3022,12.2,23.91235,[132]
Rattus fuscipes,76,37.45,84.36,76,89.29607,[133]
Rattus lutreolis,109,36.7,63.2202,109,72.31488,[134]
Rattus villosissimus,250.6,35.9,145.8492,250.6,181.2162,[135]
Reithrodontomys megalotis,9,36.8,22.5,9,25.47207,[127;136]
Rhabdomys pumilio,39.6,37,32.076,39.6,35.56981,[92]
Saccostomus campestris,61.3,35.25,51.492,61.3,68.42559,[137]
Scotinomys teguina,12,37.6,31.2,12,32.51735,[138]
Scotinomys xerampelinus,15.2,36.2,31.92,15.2,38.44903,[138]
Sekeetamys calurus,56.9,37.5,44.382,56.9,46.73665,[92]
Sigmodon hispidus,139.3,38.1,230.4024,139.3,228.0326,[139]
Steatomys pratensis,37.54,34.1,18.7698,37.54,28.09151,[11;140]
Tachyoryctes splendens,191,35.9,150.89,191,187.4793,[47]
Tatera afra,106.5,34,182.115,106.5,275.392,[141]
Tatera leucogaster,157.62,35.08,132.5584,157.62,179.2748,[99]
Thallomys paedulcus,132.4,36.715,87.26808,132.425,99.66752,[93]
Myoxus glis,200,37.7,158,200,162.9774,[25]
Muscardenis avellanarius,23.5,35.8,62.98,23.5,79.06526,[25]
Aconaemys fuscus,112,37.3,120.96,112,130.0387,[69]
Octodon degus,192.9625,37.6,170.244,192.9625,177.4321,[58;142]
Octodontomys gliroides,152,37.2,130.7,152,141.97,[58]
Octomys mimax,118.6,36.7,115.042,118.6,131.5916,[143]
Spalacopus cyanus,135,36.45,106.8,135.3335,125.3627,[47;58;144]
Tympanoctomys barrerae,71.4,35.7,77.112,71.4,97.81268,[143]
Pedetes capensis,2300,35.9,793.5,2300,985.9158,[145]
Ammospermophilus leucurus,95.7,37.5,93.882,95.7,98.86283,[11;146;147]
Cynomys ludovicanus,1112.3,36.7,422.6742,1112.3,483.4789,[148]
Funisciurus congicus,112.3,39.275,95.454,112.3,83.6652,[149] 
Glaucomys volans,64.25,39,67.4625,64.25,60.83606,[150]
Marmota flaviventris,4295,36.5,1546.2,4295,1805.584,[148]
Marmota monax,2650,37,662.502,2650,734.6637,[151]
Paraxerus cepapi,223.6,39.07,145.34,223.6,130.119,[149]
Paraxerus palliatus tongensis,206,38.805,175.1,274.8083,191.474,[149]
Sciurus aberti,624,40.7,430.56,624,325.6866,[152]
Sciurus carolinensis,440,38.7,369.6,440,343.7961,[153]
Spermophilus armatus,320,35.73333333,147.2,320,186.0734,[154]
Spermophilus beecheyi,599.6,37.6,317.7882,599.6,331.2061,[155]
Spermophilus beldingi,303,35.5,127.26,303,164.7955,[154]
Spermophilus citellus,240,37.5,228,240,240.0963,[71]
Spermophilus lateralis,237,36.3,143.4,237,170.9549,[25;71]
Spermophilus mohavensis,240,37,112.8,240,125.0865,[71]
Spermophilus parryi,650,37,520,650,576.6399,[25]
Spermophilus richardsoni,274,35.45,131.52,274,171.1947,[154]
Spermophilus spilosoma,174,36.13333333,92.22,174,111.8513,[154]
Spermophilus tereticaudus,167,36.3,93.52,167,111.4902,[154]
Spermophilus townsendii,229,35.575,105.34,229,135.3565,[154]
Spermophilus tridecemlineatus,205.4,35.7,140.4414,205.4333,178.1428,[71;156]
Spermophilus undulatus,680,38,667.08,680,667.08,[1]
Tamias amoenus,57.1,37,96.2706,57.1,106.7567,[157;158]
Tamias merriami,75,37,78.75,75,87.32768,[159]
Tamias minimus,45.8,37,72.7302,45.8,80.65219,[157;160]
Tamias striatus,87.4,38.15,90.022,87.4,88.63667,[161]
Tamiasciurus hudsonicus,228.3,38.65,254.5545,228.3,238.0098,[162]
Xerus inauris,542,36.8,326.284,542,369.3835,[163]
Xerus princeps,602,37.6,340.13,602,354.4912,[92]
Pltilocerus lowii,58,36.5,43.5,58,50.79738,[164]
Tupaia glis,123,37,93.48,123,103.6621,[165] 
Orycteropus afer,48000,34.5,6144,48000,8822.792,[51]
Bradypus variegatus,3790,33,685.992,3790,1150.339,[166]
Cabassous centralis,4330,33.6,916.8,4330,1444.91,[38]
Chaetophractus nationi,2150,35.5,559,2150,723.8778,[38]
Chaetophractus vellerosus,1110,34.4,306.36,1110,444.5054,[38]
Chaetophractus villosus,4540,35.1,808.12,4540,1090.661,[38]
Dasypus novemcinctus,3510,34.5,865.215,3510,1242.45,[38]
Euphractus sexcinctus,8190,34.2,1236.69,8190,1831.834,[38]
Priodontes maximus,45190,33.6,3027.73,45190,4771.811,[38]
Tolypeutes matacus,1160,33,209.96,1160,352.0817,[38]
Zaedyus pichi,1740,35.2,393.24,1740,525.2687,[38]
Choloepus hoffmanni,3770,34.4,603.2,3770,875.198,[38]
Cyclopes didactylus,240,33,114.48,240,191.9714,[38]
Myrmecophaga tridactyla,30600,32.52,2607.12,30600,4594.313,[54]
Tamandua mexicana,3977,31.95,991.5156,3976.667,1853.331,[51]
Tamandua tetradactyla,3500,33.5,898.8,3500,1431.262,[54]
Antechinomys laniger,25.8,35.75,25.284,25.8,31.90611,[167]
Antechinus flavipes,46.5,35,45.105,46.5,61.50761,[168]
Antechinus stuartii,28.2,35.06666667,33.78589,28.23333,45.75579,[167]
Antechinus swainsoni,66.9,36.025,63,66.9,77.27176,[169]
Dasycercus cristicaudata,101,36.85,51.005,101,57.44462,[167]
Dasyuroides byrnei,91.7,35.18333333,71.70747,91.71429,95.94815,[167]
Dasyurus geoffroyi,1354,36.2,568.68,1354,684.9998,[167]
Dasyurus hallucatus,558,35.9,243.009,558,301.9363,[167]
Dasyurus maculatus,1782,36.9,588.06,1782,658.8904,[167]
Dasyurus viverrinus,982,35.9,396.237,982,492.3205,[167]
Ningaui yvonnae,11.6,34.4,15.66,11.6,22.72149,[167]
Phascogale tapoatafa,157,37.4,127.17,157,135.3086,[167]
Planigale gilesi,9.1,35.1,6.981333,9.066667,9.422201,[167]
Planigale maculata,10.8,34.5,12,10.8,17.23202,[167] 
Planigale tenuirostris,7.1,34.5,11.289,7.1,16.21102,[167]
Pseudantechinus macdonnellensis,43.1,34.2,27.153,43.1,40.22009,[167]
Sarcophilus harrisii,5775,35.75,1325.363,5775,1672.487,[167]
Sminthopsis crassicaudata,16.4,35.16,25.09556,16.36667,33.6602,[167]
Sminthopsis macroura,19.35,33.3,22.54275,19.35,36.64742,[167]
